
|KHOH        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |SELDOVIA                 |AK |US |BLED   -20110421ABO |0.6    kW |0.     kW |213.0   |0.0     |176163     |N |59 |27 |17.00 |W |151 |40 |18.00 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |372.   m|0.0    m|-         |-       |1003109 |37.    m|1424317   |
|KAKI        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |JUNEAU                   |AK |US |BLED   -20110315ACF |1.7    kW |1.7    kW |-343.0  |-343.0  |175915     |N |58 |18 |5.00  |W |134 |26 |26.00 |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |32.    m|32.0   m|-         |-       |1028325 |30.    m|1428251   |
|K201BI      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |CORDOVA                  |AK |US |BLFT   -20111005AID |0.023  kW |0.     kW |0.0     |0.0     |65233      |N |60 |33 |14.00 |W |145 |43 |54.00 |TERMINAL RADIO, INC.                                                        |   0.00 km |   0.00 mi |  0.00 deg |338.   m|0.0    m|105510    |225.0   |1274207 |8.     m|1447369   |
|KOGJ        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |CP MOD |KENAI                    |AK |US |BMPED  -20120718ABV |0.     kW |1.1    kW |0.0     |104.0   |174802     |N |60 |31 |21.00 |W |151 |4  |16.00 |CALVARY CHAPEL OF TWIN FALLS, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|104.   m|-         |-       |1244884 |43.    m|1523219   |
|WAYH        |88.1  MHz |FM |201 |DA  |-                   |C3 |-  |LIC    |HARVEST                  |AL |US |BLED   -20030307AAO |3.5    kW |3.5    kW |204.0   |204.0   |61509      |N |34 |49 |8.00  |W |86  |44 |19.00 |WAY MEDIA, INC.                                                             |   0.00 km |   0.00 mi |  0.00 deg |443.   m|443.0  m|43090     |0.      |1063576 |62.    m|632470    |
|WSJL        |88.1  MHz |FM |201 |DA  |-                   |C2 |-  |LIC    |NORTHPORT                |AL |US |BLED   -20080418ABL |0.01   kW |15.    kW |150.0   |150.0   |88660      |N |33 |28 |51.00 |W |87  |24 |3.00  |ELIJAH RADIO, INC.                                                          |   0.00 km |   0.00 mi |  0.00 deg |280.   m|280.0  m|86177     |0.      |1050693 |74.    m|1237600   |
|WSJL        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |CP     |BESSEMER                 |AL |US |BPED   -20091023AKY |0.     kW |6.     kW |0.0     |98.0    |88660      |N |33 |23 |45.00 |W |87  |1  |7.00  |ELIJAH RADIO, INC.                                                          |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|254.   m|97521     |0.      |1019712 |66.    m|1353484   |
|WKRE        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |ARGO                     |AL |US |BLED   -20110201ABC |0.001  kW |4.     kW |63.0    |63.0    |169863     |N |33 |39 |25.00 |W |86  |26 |4.00  |TBTA MINISTRIES                                                             |   0.00 km |   0.00 mi |  0.00 deg |297.   m|297.0  m|98579     |5.      |1246620 |60.    m|1420786   |
|KGIF        |88.1  MHz |FM |201 |ND  |-                   |C2 |-  |LIC    |TAFUNA                   |AS |US |BLED   -20111216ACY |1.5    kW |1.5    kW |413.0   |413.0   |175279     |S |14 |19 |21.00 |W |170 |45 |47.00 |LEONE CHURCH OF CHRIST                                                      |   0.00 km |   0.00 mi |  0.00 deg |506.   m|506.0  m|-         |-       |1252448 |12.    m|1480608   |
|KNNB        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |WHITERIVER               |AZ |US |BLED   -19820924AG  |0.63   kW |0.63   kW |183.0   |183.0   |2406       |N |33 |45 |47.00 |W |109 |57 |39.00 |APACHE RADIO BROADCASTING CORPORATION                                       |   0.00 km |   0.00 mi |  0.00 deg |1963.  m|1963.0 m|-         |-       |-       |21.    m|47324     |
